"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"ABPBG03010","Salpinctes obsoletus",NA,"Rock Wren",NA,"birds","Salpinctes obsoletus","Rock Wren","Salpinctes obsoletus_Rock Wren"
"ABPAZ01010","Sitta canadensis",NA,"Red-breasted Nuthatch",NA,"birds","Sitta canadensis","Red-breasted Nuthatch","Sitta canadensis_Red-breasted Nuthatch"
"ABPAZ01020","Sitta carolinensis",NA,"White-breasted Nuthatch",NA,"birds","Sitta carolinensis","White-breasted Nuthatch","Sitta carolinensis_White-breasted Nuthatch"
"ABPAZ01030","Sitta pygmaea",NA,"Pygmy Nuthatch",NA,"birds","Sitta pygmaea","Pygmy Nuthatch","Sitta pygmaea_Pygmy Nuthatch"
"ABPBG07010","Thryomanes bewickii",NA,"Bewick's Wren",NA,"birds","Thryomanes bewickii","Bewick's Wren","Thryomanes bewickii_Bewick's Wren"
"ABPBG09010","Troglodytes aedon",NA,"House Wren",NA,"birds","Troglodytes aedon","House Wren","Troglodytes aedon_House Wren"
"ABPBG09100","Troglodytes hiemalis",NA,"Winter Wren",NA,"birds","Troglodytes hiemalis","Winter Wren","Troglodytes hiemalis_Winter Wren"
"ABPBG09090","Troglodytes pacificus","Troglodytes troglodytes","Pacific Wren",NA,"birds","Troglodytes pacificus","Pacific Wren","Troglodytes pacificus_Pacific Wren"
"ABPBJ08010","Polioptila caerulea",NA,"Blue-gray Gnatcatcher",NA,"birds","Polioptila caerulea","Blue-grey Gnatcatcher","Polioptila caerulea_Blue-grey Gnatcatcher"
"ABPBA01010","Certhia americana",NA,"Brown Creeper",NA,"birds","Certhia americana","Brown Creeper","Certhia americana_Brown Creeper"
"ABPBK01010","Dumetella carolinensis",NA,"Gray Catbird",NA,"birds","Dumetella carolinensis","Grey Catbird","Dumetella carolinensis_Grey Catbird"
"ABPBK03010","Mimus polyglottos",NA,"Northern Mockingbird",NA,"birds","Mimus polyglottos","Northern Mockingbird","Mimus polyglottos_Northern Mockingbird"
"ABPBK04010","Oreoscoptes montanus",NA,"Sage Thrasher",NA,"birds","Oreoscoptes montanus","Sage Thrasher","Oreoscoptes montanus_Sage Thrasher"
"ABPBK06070","Toxostoma curvirostre",NA,"Curve-billed Thrasher",NA,"birds","Toxostoma curvirostre","Curve-billed Thrasher","Toxostoma curvirostre_Curve-billed Thrasher"
"ABPBK06010","Toxostoma rufum",NA,"Brown Thrasher",NA,"birds","Toxostoma rufum","Brown Thrasher","Toxostoma rufum_Brown Thrasher"
"ABPBT01010","Sturnus vulgaris",NA,"European Starling",NA,"birds","Sturnus vulgaris","Common Starling","Sturnus vulgaris_Common Starling"
"ABPBJ18080","Catharus fuscescens",NA,"Veery",NA,"birds","Catharus fuscescens","Veery","Catharus fuscescens_Veery"
"ABPBJ18110","Catharus guttatus",NA,"Hermit Thrush",NA,"birds","Catharus guttatus","Hermit Thrush","Catharus guttatus_Hermit Thrush"
"ABPBJ18090","Catharus minimus",NA,"Gray-cheeked Thrush",NA,"birds","Catharus minimus","Grey-cheeked Thrush","Catharus minimus_Grey-cheeked Thrush"
"ABPBJ18100","Catharus ustulatus",NA,"Swainson's Thrush",NA,"birds","Catharus ustulatus","Swainson's Thrush","Catharus ustulatus_Swainson's Thrush"
"ABPBJ19010","Hylocichla mustelina",NA,"Wood Thrush",NA,"birds","Hylocichla mustelina","Wood Thrush","Hylocichla mustelina_Wood Thrush"
"ABPBJ22010","Ixoreus naevius",NA,"Varied Thrush",NA,"birds","Ixoreus naevius","Varied Thrush","Ixoreus naevius_Varied Thrush"
"ABPBJ29010","Monticola solitarius",NA,"Blue Rock-Thrush",NA,"birds","Monticola solitarius","Blue Rock Thrush","Monticola solitarius_Blue Rock Thrush"
"ABPBJ16010","Myadestes townsendi",NA,"Townsend's Solitaire",NA,"birds","Myadestes townsendi","Townsend's Solitaire","Myadestes townsendi_Townsend's Solitaire"
"ABPBJ15030","Sialia currucoides",NA,"Mountain Bluebird",NA,"birds","Sialia currucoides","Mountain Bluebird","Sialia currucoides_Mountain Bluebird"
"ABPBJ15020","Sialia mexicana",NA,"Western Bluebird",NA,"birds","Sialia mexicana","Western Bluebird","Sialia mexicana_Western Bluebird"
"ABPBJ15010","Sialia sialis",NA,"Eastern Bluebird",NA,"birds","Sialia sialis","Eastern Bluebird","Sialia sialis_Eastern Bluebird"
"ABPBJ20240","Turdus eunomus","Turdus naumanni","Dusky Thrush",NA,"birds","Turdus eunomus","Dusky Thrush","Turdus eunomus_Dusky Thrush"
"ABPBJ20050","Turdus iliacus",NA,"Redwing",NA,"birds","Turdus iliacus","Redwing","Turdus iliacus_Redwing"
"ABPBJ20170","Turdus migratorius",NA,"American Robin",NA,"birds","Turdus migratorius","American Robin","Turdus migratorius_American Robin"
