"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Aglaiocercus kingii","Long-tailed Sylph","Aglaiocercus kingii_Long-tailed Sylph",NA,NA,NA
"Agriornis montanus","Black-billed Shrike-Tyrant","Agriornis montanus_Black-billed Shrike-Tyrant",NA,NA,NA
"Agropsar philippensis","Chestnut-cheeked Starling","Agropsar philippensis_Chestnut-cheeked Starling",NA,NA,NA
"Agropsar sturninus","Daurian Starling","Agropsar sturninus_Daurian Starling",NA,NA,NA
"Ailuroedus crassirostris","Green Catbird","Ailuroedus crassirostris_Green Catbird",NA,NA,NA
"Ailuroedus maculosus","Spotted Catbird","Ailuroedus maculosus_Spotted Catbird",NA,NA,NA
"Aimophila notosticta","Oaxaca Sparrow","Aimophila notosticta_Oaxaca Sparrow",NA,NA,NA
"Aimophila rufescens","Rusty Sparrow","Aimophila rufescens_Rusty Sparrow",NA,NA,NA
"Aimophila ruficeps","Rufous-crowned Sparrow","Aimophila ruficeps_Rufous-crowned Sparrow",NA,NA,NA
"Aix galericulata","Mandarin Duck","Aix galericulata_Mandarin Duck",NA,NA,NA
"Aix sponsa","Wood Duck","Aix sponsa_Wood Duck","Wood Duck","B-WODU","birds"
"Akletos goeldii","Goeldi's Antbird","Akletos goeldii_Goeldi's Antbird",NA,NA,NA
"Akletos melanoceps","White-shouldered Antbird","Akletos melanoceps_White-shouldered Antbird",NA,NA,NA
"Alaemon alaudipes","Greater Hoopoe-Lark","Alaemon alaudipes_Greater Hoopoe-Lark",NA,NA,NA
"Alauda arvensis","Eurasian Skylark","Alauda arvensis_Eurasian Skylark","Eurasian Skylark","B-SKLA","birds"
"Alauda gulgula","Oriental Skylark","Alauda gulgula_Oriental Skylark",NA,NA,NA
"Alaudala cheleensis","Asian Short-toed Lark","Alaudala cheleensis_Asian Short-toed Lark",NA,NA,NA
"Alaudala heinei","Turkestan Short-toed Lark","Alaudala heinei_Turkestan Short-toed Lark",NA,NA,NA
"Alaudala raytal","Sand Lark","Alaudala raytal_Sand Lark",NA,NA,NA
"Alaudala rufescens","Mediterranean Short-toed Lark","Alaudala rufescens_Mediterranean Short-toed Lark",NA,NA,NA
"Alaudala somalica","Somali Short-toed Lark","Alaudala somalica_Somali Short-toed Lark",NA,NA,NA
"Alca torda","Razorbill","Alca torda_Razorbill",NA,NA,NA
"Alcedo atthis","Common Kingfisher","Alcedo atthis_Common Kingfisher",NA,NA,NA
"Alcedo meninting","Blue-eared Kingfisher","Alcedo meninting_Blue-eared Kingfisher",NA,NA,NA
"Alcippe brunneicauda","Brown Fulvetta","Alcippe brunneicauda_Brown Fulvetta",NA,NA,NA
