"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Oenanthe melanoleuca","Eastern Black-eared Wheatear","Oenanthe melanoleuca_Eastern Black-eared Wheatear",NA,NA,NA
"Oenanthe melanura","Blackstart","Oenanthe melanura_Blackstart",NA,NA,NA
"Oenanthe oenanthe","Northern Wheatear","Oenanthe oenanthe_Northern Wheatear","Northern Wheatear","B-NOWH","birds"
"Oenanthe pileata","Capped Wheatear","Oenanthe pileata_Capped Wheatear",NA,NA,NA
"Oenanthe pleschanka","Pied Wheatear","Oenanthe pleschanka_Pied Wheatear",NA,NA,NA
"Oenanthe scotocerca","Brown-tailed Chat","Oenanthe scotocerca_Brown-tailed Chat",NA,NA,NA
"Ognorhynchus icterotis","Yellow-eared Parrot","Ognorhynchus icterotis_Yellow-eared Parrot",NA,NA,NA
"Oncostoma cinereigulare","Northern Bentbill","Oncostoma cinereigulare_Northern Bentbill",NA,NA,NA
"Oncostoma olivaceum","Southern Bentbill","Oncostoma olivaceum_Southern Bentbill",NA,NA,NA
"Oneillornis lunulatus","Lunulated Antbird","Oneillornis lunulatus_Lunulated Antbird",NA,NA,NA
"Oneillornis salvini","White-throated Antbird","Oneillornis salvini_White-throated Antbird",NA,NA,NA
"Onychognathus morio","Red-winged Starling","Onychognathus morio_Red-winged Starling",NA,NA,NA
"Onychognathus nabouroup","Pale-winged Starling","Onychognathus nabouroup_Pale-winged Starling",NA,NA,NA
"Onychognathus tenuirostris","Slender-billed Starling","Onychognathus tenuirostris_Slender-billed Starling",NA,NA,NA
"Onychognathus tristramii","Tristram's Starling","Onychognathus tristramii_Tristram's Starling",NA,NA,NA
"Onychognathus walleri","Waller's Starling","Onychognathus walleri_Waller's Starling",NA,NA,NA
"Onychoprion aleuticus","Aleutian Tern","Onychoprion aleuticus_Aleutian Tern","Aleutian Tern","B-ALTE","birds"
"Onychoprion anaethetus","Bridled Tern","Onychoprion anaethetus_Bridled Tern",NA,NA,NA
"Onychoprion fuscatus","Sooty Tern","Onychoprion fuscatus_Sooty Tern",NA,NA,NA
"Onychoprion lunatus","Grey-backed Tern","Onychoprion lunatus_Grey-backed Tern",NA,NA,NA
"Onychorhynchus coronatus","Tropical Royal Flycatcher","Onychorhynchus coronatus_Tropical Royal Flycatcher",NA,NA,NA
"Opisthocomus hoazin","Hoatzin","Opisthocomus hoazin_Hoatzin",NA,NA,NA
"Oporornis agilis","Connecticut Warbler","Oporornis agilis_Connecticut Warbler","Connecticut Warbler","B-COWA","birds"
"Orchelimum agile","Agile Meadow Katydid","Orchelimum agile_Agile Meadow Katydid",NA,NA,NA
"Orchelimum concinnum","Stripe-faced Meadow Katydid","Orchelimum concinnum_Stripe-faced Meadow Katydid",NA,NA,NA
"Orchelimum pulchellum","Handsome Meadow Katydid","Orchelimum pulchellum_Handsome Meadow Katydid",NA,NA,NA
"Orchesticus abeillei","Brown Tanager","Orchesticus abeillei_Brown Tanager",NA,NA,NA
"Oreocharis arfaki","Tit Berrypecker","Oreocharis arfaki_Tit Berrypecker",NA,NA,NA
"Oreoica gutturalis","Crested Bellbird","Oreoica gutturalis_Crested Bellbird",NA,NA,NA
"Oreolais pulcher","Black-collared Apalis","Oreolais pulcher_Black-collared Apalis",NA,NA,NA
"Oreolais ruwenzorii","Rwenzori Apalis","Oreolais ruwenzorii_Rwenzori Apalis",NA,NA,NA
"Oreomystis bairdi","Akikiki","Oreomystis bairdi_Akikiki",NA,NA,NA
"Oreophasis derbianus","Horned Guan","Oreophasis derbianus_Horned Guan",NA,NA,NA
"Oreopholus ruficollis","Tawny-throated Dotterel","Oreopholus ruficollis_Tawny-throated Dotterel",NA,NA,NA
"Oreopsar bolivianus","Bolivian Blackbird","Oreopsar bolivianus_Bolivian Blackbird",NA,NA,NA
"Oreortyx pictus","Mountain Quail","Oreortyx pictus_Mountain Quail",NA,NA,NA
"Oreoscoptes montanus","Sage Thrasher","Oreoscoptes montanus_Sage Thrasher","Sage Thrasher","B-SATH","birds"
"Oreoscopus gutturalis","Fernwren","Oreoscopus gutturalis_Fernwren",NA,NA,NA
"Oreothlypis gutturalis","Flame-throated Warbler","Oreothlypis gutturalis_Flame-throated Warbler",NA,NA,NA
"Oreothlypis superciliosa","Crescent-chested Warbler","Oreothlypis superciliosa_Crescent-chested Warbler",NA,NA,NA
"Oreothraupis arremonops","Tanager Finch","Oreothraupis arremonops_Tanager Finch",NA,NA,NA
"Oreotrochilus estella","Andean Hillstar","Oreotrochilus estella_Andean Hillstar",NA,NA,NA
"Oressochen jubatus","Orinoco Goose","Oressochen jubatus_Orinoco Goose",NA,NA,NA
"Oressochen melanopterus","Andean Goose","Oressochen melanopterus_Andean Goose",NA,NA,NA
"Oriolus auratus","African Golden Oriole","Oriolus auratus_African Golden Oriole",NA,NA,NA
"Oriolus brachyrynchus","Western Black-headed Oriole","Oriolus brachyrynchus_Western Black-headed Oriole",NA,NA,NA
"Oriolus chinensis","Black-naped Oriole","Oriolus chinensis_Black-naped Oriole",NA,NA,NA
"Oriolus chlorocephalus","Green-headed Oriole","Oriolus chlorocephalus_Green-headed Oriole",NA,NA,NA
"Oriolus cruentus","Javan Oriole","Oriolus cruentus_Javan Oriole",NA,NA,NA
"Oriolus flavocinctus","Green Oriole","Oriolus flavocinctus_Green Oriole",NA,NA,NA
"Oriolus kundoo","Indian Golden Oriole","Oriolus kundoo_Indian Golden Oriole",NA,NA,NA
"Oriolus larvatus","African Black-headed Oriole","Oriolus larvatus_African Black-headed Oriole",NA,NA,NA
"Oriolus monacha","Ethiopian Black-headed Oriole","Oriolus monacha_Ethiopian Black-headed Oriole",NA,NA,NA
"Oriolus nigripennis","Black-winged Oriole","Oriolus nigripennis_Black-winged Oriole",NA,NA,NA
"Oriolus oriolus","Eurasian Golden Oriole","Oriolus oriolus_Eurasian Golden Oriole",NA,NA,NA
"Oriolus percivali","Black-tailed Oriole","Oriolus percivali_Black-tailed Oriole",NA,NA,NA
"Oriolus phaeochromus","Halmahera Oriole","Oriolus phaeochromus_Halmahera Oriole",NA,NA,NA
"Oriolus sagittatus","Olive-backed Oriole","Oriolus sagittatus_Olive-backed Oriole",NA,NA,NA
"Oriolus steerii","Philippine Oriole","Oriolus steerii_Philippine Oriole",NA,NA,NA
"Oriolus szalayi","Brown Oriole","Oriolus szalayi_Brown Oriole",NA,NA,NA
"Oriolus tenuirostris","Slender-billed Oriole","Oriolus tenuirostris_Slender-billed Oriole",NA,NA,NA
"Oriolus traillii","Maroon Oriole","Oriolus traillii_Maroon Oriole",NA,NA,NA
"Oriolus xanthonotus","Dark-throated Oriole","Oriolus xanthonotus_Dark-throated Oriole",NA,NA,NA
"Oriolus xanthornus","Black-hooded Oriole","Oriolus xanthornus_Black-hooded Oriole",NA,NA,NA
"Oriturus superciliosus","Striped Sparrow","Oriturus superciliosus_Striped Sparrow",NA,NA,NA
"Ornithion brunneicapillus","Brown-capped Tyrannulet","Ornithion brunneicapillus_Brown-capped Tyrannulet",NA,NA,NA
"Ornithion inerme","White-lored Tyrannulet","Ornithion inerme_White-lored Tyrannulet",NA,NA,NA
"Ornithion semiflavum","Yellow-bellied Tyrannulet","Ornithion semiflavum_Yellow-bellied Tyrannulet",NA,NA,NA
"Orocharis saltator","Jumping Bush Cricket","Orocharis saltator_Jumping Bush Cricket",NA,NA,NA
"Orochelidon flavipes","Pale-footed Swallow","Orochelidon flavipes_Pale-footed Swallow",NA,NA,NA
"Orochelidon murina","Brown-bellied Swallow","Orochelidon murina_Brown-bellied Swallow",NA,NA,NA
"Ortalis araucuan","East Brazilian Chachalaca","Ortalis araucuan_East Brazilian Chachalaca",NA,NA,NA
"Ortalis canicollis","Chaco Chachalaca","Ortalis canicollis_Chaco Chachalaca",NA,NA,NA
"Ortalis cinereiceps","Grey-headed Chachalaca","Ortalis cinereiceps_Grey-headed Chachalaca",NA,NA,NA
"Ortalis columbiana","Colombian Chachalaca","Ortalis columbiana_Colombian Chachalaca",NA,NA,NA
"Ortalis erythroptera","Rufous-headed Chachalaca","Ortalis erythroptera_Rufous-headed Chachalaca",NA,NA,NA
"Ortalis garrula","Chestnut-winged Chachalaca","Ortalis garrula_Chestnut-winged Chachalaca",NA,NA,NA
"Ortalis guttata","Speckled Chachalaca","Ortalis guttata_Speckled Chachalaca",NA,NA,NA
"Ortalis leucogastra","White-bellied Chachalaca","Ortalis leucogastra_White-bellied Chachalaca",NA,NA,NA
"Ortalis motmot","Variable Chachalaca","Ortalis motmot_Variable Chachalaca",NA,NA,NA
"Ortalis poliocephala","West Mexican Chachalaca","Ortalis poliocephala_West Mexican Chachalaca",NA,NA,NA
"Ortalis ruficauda","Rufous-vented Chachalaca","Ortalis ruficauda_Rufous-vented Chachalaca",NA,NA,NA
"Ortalis squamata","Scaled Chachalaca","Ortalis squamata_Scaled Chachalaca",NA,NA,NA
"Ortalis vetula","Plain Chachalaca","Ortalis vetula_Plain Chachalaca",NA,NA,NA
"Ortalis wagleri","Rufous-bellied Chachalaca","Ortalis wagleri_Rufous-bellied Chachalaca",NA,NA,NA
"Orthogonys chloricterus","Olive-green Tanager","Orthogonys chloricterus_Olive-green Tanager",NA,NA,NA
"Orthonyx novaeguineae","Papuan Logrunner","Orthonyx novaeguineae_Papuan Logrunner",NA,NA,NA
"Orthonyx spaldingii","Chowchilla","Orthonyx spaldingii_Chowchilla",NA,NA,NA
"Orthonyx temminckii","Australian Logrunner","Orthonyx temminckii_Australian Logrunner",NA,NA,NA
"Orthopsittaca manilatus","Red-bellied Macaw","Orthopsittaca manilatus_Red-bellied Macaw",NA,NA,NA
"Orthotomus atrogularis","Dark-necked Tailorbird","Orthotomus atrogularis_Dark-necked Tailorbird",NA,NA,NA
"Orthotomus chaktomuk","Cambodian Tailorbird","Orthotomus chaktomuk_Cambodian Tailorbird",NA,NA,NA
"Orthotomus chloronotus","Green-backed Tailorbird","Orthotomus chloronotus_Green-backed Tailorbird",NA,NA,NA
"Orthotomus derbianus","Grey-backed Tailorbird","Orthotomus derbianus_Grey-backed Tailorbird",NA,NA,NA
"Orthotomus frontalis","Rufous-fronted Tailorbird","Orthotomus frontalis_Rufous-fronted Tailorbird",NA,NA,NA
"Orthotomus nigriceps","White-browed Tailorbird","Orthotomus nigriceps_White-browed Tailorbird",NA,NA,NA
"Orthotomus ruficeps","Ashy Tailorbird","Orthotomus ruficeps_Ashy Tailorbird",NA,NA,NA
"Orthotomus sepium","Olive-backed Tailorbird","Orthotomus sepium_Olive-backed Tailorbird",NA,NA,NA
"Orthotomus sericeus","Rufous-tailed Tailorbird","Orthotomus sericeus_Rufous-tailed Tailorbird",NA,NA,NA
"Orthotomus sutorius","Common Tailorbird","Orthotomus sutorius_Common Tailorbird",NA,NA,NA
"Ortygornis pondicerianus","Grey Francolin","Ortygornis pondicerianus_Grey Francolin",NA,NA,NA
"Ortygornis sephaena","Crested Francolin","Ortygornis sephaena_Crested Francolin",NA,NA,NA
"Ortygospiza atricollis","Quailfinch","Ortygospiza atricollis_Quailfinch",NA,NA,NA
"Otidiphaps nobilis","Pheasant Pigeon","Otidiphaps nobilis_Pheasant Pigeon",NA,NA,NA
"Otocichla mupinensis","Chinese Thrush","Otocichla mupinensis_Chinese Thrush",NA,NA,NA
"Otus bakkamoena","Indian Scops Owl","Otus bakkamoena_Indian Scops Owl",NA,NA,NA
"Otus cyprius","Cyprus Scops Owl","Otus cyprius_Cyprus Scops Owl",NA,NA,NA
"Otus elegans","Ryukyu Scops Owl","Otus elegans_Ryukyu Scops Owl",NA,NA,NA
"Otus lempiji","Sunda Scops Owl","Otus lempiji_Sunda Scops Owl",NA,NA,NA
"Otus lettia","Collared Scops Owl","Otus lettia_Collared Scops Owl",NA,NA,NA
"Otus madagascariensis","Torotoroka Scops-Owl","Otus madagascariensis_Torotoroka Scops-Owl",NA,NA,NA
"Otus magicus","Moluccan Scops Owl","Otus magicus_Moluccan Scops Owl",NA,NA,NA
"Otus manadensis","Sulawesi Scops Owl","Otus manadensis_Sulawesi Scops Owl",NA,NA,NA
"Otus mantananensis","Mantanani Scops Owl","Otus mantananensis_Mantanani Scops Owl",NA,NA,NA
"Otus pamelae","Arabian Scops Owl","Otus pamelae_Arabian Scops Owl",NA,NA,NA
"Otus rufescens","Reddish Scops Owl","Otus rufescens_Reddish Scops Owl",NA,NA,NA
"Otus rutilus","Madagascar Scops Owl","Otus rutilus_Madagascar Scops Owl",NA,NA,NA
"Otus sagittatus","White-fronted Scops Owl","Otus sagittatus_White-fronted Scops Owl",NA,NA,NA
"Otus scops","Eurasian Scops Owl","Otus scops_Eurasian Scops Owl",NA,NA,NA
"Otus semitorques","Japanese Scops Owl","Otus semitorques_Japanese Scops Owl",NA,NA,NA
"Otus senegalensis","African Scops Owl","Otus senegalensis_African Scops Owl",NA,NA,NA
"Otus spilocephalus","Mountain Scops Owl","Otus spilocephalus_Mountain Scops Owl",NA,NA,NA
"Otus sunia","Oriental Scops Owl","Otus sunia_Oriental Scops Owl",NA,NA,NA
"Oxylabes madagascariensis","White-throated Oxylabes","Oxylabes madagascariensis_White-throated Oxylabes",NA,NA,NA
"Oxyruncus cristatus","Sharpbill","Oxyruncus cristatus_Sharpbill",NA,NA,NA
"Oxyura ferruginea","Andean Duck","Oxyura ferruginea_Andean Duck",NA,NA,NA
"Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis_Ruddy Duck","Ruddy Duck","B-RUDU","birds"
"Pachycare flavogriseum","Goldenface","Pachycare flavogriseum_Goldenface",NA,NA,NA
"Pachycephala chlorura","Vanuatu Whistler","Pachycephala chlorura_Vanuatu Whistler",NA,NA,NA
"Pachycephala cinerea","Mangrove Whistler","Pachycephala cinerea_Mangrove Whistler",NA,NA,NA
"Pachycephala flavifrons","Samoan Whistler","Pachycephala flavifrons_Samoan Whistler",NA,NA,NA
"Pachycephala fuliginosa","Western Whistler","Pachycephala fuliginosa_Western Whistler",NA,NA,NA
"Pachycephala fulvotincta","Rusty-breasted Whistler","Pachycephala fulvotincta_Rusty-breasted Whistler",NA,NA,NA
"Pachycephala griseonota","Drab Whistler","Pachycephala griseonota_Drab Whistler",NA,NA,NA
"Pachycephala homeyeri","White-vented Whistler","Pachycephala homeyeri_White-vented Whistler",NA,NA,NA
"Pachycephala hypoxantha","Bornean Whistler","Pachycephala hypoxantha_Bornean Whistler",NA,NA,NA
"Pachycephala inornata","Gilbert's Whistler","Pachycephala inornata_Gilbert's Whistler",NA,NA,NA
"Pachycephala lanioides","White-breasted Whistler","Pachycephala lanioides_White-breasted Whistler",NA,NA,NA
"Pachycephala macrorhyncha","Yellow-throated Whistler","Pachycephala macrorhyncha_Yellow-throated Whistler",NA,NA,NA
"Pachycephala mentalis","Black-chinned Whistler","Pachycephala mentalis_Black-chinned Whistler",NA,NA,NA
"Pachycephala nudigula","Bare-throated Whistler","Pachycephala nudigula_Bare-throated Whistler",NA,NA,NA
"Pachycephala olivacea","Olive Whistler","Pachycephala olivacea_Olive Whistler",NA,NA,NA
"Pachycephala orioloides","Oriole Whistler","Pachycephala orioloides_Oriole Whistler",NA,NA,NA
"Pachycephala pectoralis","Golden Whistler","Pachycephala pectoralis_Golden Whistler",NA,NA,NA
"Pachycephala philippinensis","Yellow-bellied Whistler","Pachycephala philippinensis_Yellow-bellied Whistler",NA,NA,NA
"Pachycephala rufiventris","Rufous Whistler","Pachycephala rufiventris_Rufous Whistler",NA,NA,NA
"Pachycephala schlegelii","Regent Whistler","Pachycephala schlegelii_Regent Whistler",NA,NA,NA
"Pachycephala simplex","Grey Whistler","Pachycephala simplex_Grey Whistler",NA,NA,NA
"Pachycephala soror","Sclater's Whistler","Pachycephala soror_Sclater's Whistler",NA,NA,NA
"Pachycephala sulfuriventer","Sulphur-bellied Whistler","Pachycephala sulfuriventer_Sulphur-bellied Whistler",NA,NA,NA
"Pachycephala vitiensis","Fiji Whistler","Pachycephala vitiensis_Fiji Whistler",NA,NA,NA
"Pachyphantes superciliosus","Compact Weaver","Pachyphantes superciliosus_Compact Weaver",NA,NA,NA
"Pachyramphus aglaiae","Rose-throated Becard","Pachyramphus aglaiae_Rose-throated Becard",NA,NA,NA
"Pachyramphus albogriseus","Black-and-white Becard","Pachyramphus albogriseus_Black-and-white Becard",NA,NA,NA
"Pachyramphus castaneus","Chestnut-crowned Becard","Pachyramphus castaneus_Chestnut-crowned Becard",NA,NA,NA
"Pachyramphus cinnamomeus","Cinnamon Becard","Pachyramphus cinnamomeus_Cinnamon Becard",NA,NA,NA
"Pachyramphus homochrous","One-coloured Becard","Pachyramphus homochrous_One-coloured Becard",NA,NA,NA
"Pachyramphus major","Grey-collared Becard","Pachyramphus major_Grey-collared Becard",NA,NA,NA
"Pachyramphus marginatus","Black-capped Becard","Pachyramphus marginatus_Black-capped Becard",NA,NA,NA
"Pachyramphus minor","Pink-throated Becard","Pachyramphus minor_Pink-throated Becard",NA,NA,NA
"Pachyramphus niger","Jamaican Becard","Pachyramphus niger_Jamaican Becard",NA,NA,NA
"Pachyramphus polychopterus","White-winged Becard","Pachyramphus polychopterus_White-winged Becard",NA,NA,NA
"Pachyramphus rufus","Cinereous Becard","Pachyramphus rufus_Cinereous Becard",NA,NA,NA
"Pachyramphus surinamus","Glossy-backed Becard","Pachyramphus surinamus_Glossy-backed Becard",NA,NA,NA
"Pachyramphus validus","Crested Becard","Pachyramphus validus_Crested Becard",NA,NA,NA
"Pachyramphus versicolor","Barred Becard","Pachyramphus versicolor_Barred Becard",NA,NA,NA
"Pachyramphus viridis","Green-backed Becard","Pachyramphus viridis_Green-backed Becard",NA,NA,NA
"Pachysylvia aurantiifrons","Golden-fronted Greenlet","Pachysylvia aurantiifrons_Golden-fronted Greenlet",NA,NA,NA
"Pachysylvia decurtata","Lesser Greenlet","Pachysylvia decurtata_Lesser Greenlet",NA,NA,NA
"Pachysylvia hypoxantha","Dusky-capped Greenlet","Pachysylvia hypoxantha_Dusky-capped Greenlet",NA,NA,NA
"Pachysylvia muscicapina","Buff-cheeked Greenlet","Pachysylvia muscicapina_Buff-cheeked Greenlet",NA,NA,NA
"Pachysylvia semibrunnea","Rufous-naped Greenlet","Pachysylvia semibrunnea_Rufous-naped Greenlet",NA,NA,NA
"Padda oryzivora","Java Sparrow","Padda oryzivora_Java Sparrow",NA,NA,NA
"Palmeria dolei","Akohekohe","Palmeria dolei_Akohekohe",NA,NA,NA
"Pampa curvipennis","Wedge-tailed Sabrewing","Pampa curvipennis_Wedge-tailed Sabrewing",NA,NA,NA
"Pandion haliaetus","Osprey","Pandion haliaetus_Osprey","Osprey","B-OSPR","birds"
"Panterpe insignis","Fiery-throated Hummingbird","Panterpe insignis_Fiery-throated Hummingbird",NA,NA,NA
"Panurus biarmicus","Bearded Tit","Panurus biarmicus_Bearded Tit",NA,NA,NA
"Panyptila sanctihieronymi","Great Swallow-tailed Swift","Panyptila sanctihieronymi_Great Swallow-tailed Swift",NA,NA,NA
"Parabuteo leucorrhous","White-rumped Hawk","Parabuteo leucorrhous_White-rumped Hawk",NA,NA,NA
"Parabuteo unicinctus","Harris's Hawk","Parabuteo unicinctus_Harris's Hawk",NA,NA,NA
"Paraclaravis mondetoura","Maroon-chested Ground Dove","Paraclaravis mondetoura_Maroon-chested Ground Dove",NA,NA,NA
"Paradisaea minor","Lesser Bird-of-Paradise","Paradisaea minor_Lesser Bird-of-Paradise",NA,NA,NA
"Paradisaea rubra","Red Bird-of-Paradise","Paradisaea rubra_Red Bird-of-Paradise",NA,NA,NA
"Paradoxornis flavirostris","Black-breasted Parrotbill","Paradoxornis flavirostris_Black-breasted Parrotbill",NA,NA,NA
"Paradoxornis guttaticollis","Spot-breasted Parrotbill","Paradoxornis guttaticollis_Spot-breasted Parrotbill",NA,NA,NA
"Pardalotus punctatus","Spotted Pardalote","Pardalotus punctatus_Spotted Pardalote",NA,NA,NA
"Pardalotus rubricatus","Red-browed Pardalote","Pardalotus rubricatus_Red-browed Pardalote",NA,NA,NA
"Pardalotus striatus","Striated Pardalote","Pardalotus striatus_Striated Pardalote",NA,NA,NA
"Pardirallus maculatus","Spotted Rail","Pardirallus maculatus_Spotted Rail",NA,NA,NA
"Pardirallus nigricans","Blackish Rail","Pardirallus nigricans_Blackish Rail",NA,NA,NA
"Pardirallus sanguinolentus","Plumbeous Rail","Pardirallus sanguinolentus_Plumbeous Rail",NA,NA,NA
"Parkerthraustes humeralis","Yellow-shouldered Grosbeak","Parkerthraustes humeralis_Yellow-shouldered Grosbeak",NA,NA,NA
"Parkesia motacilla","Louisiana Waterthrush","Parkesia motacilla_Louisiana Waterthrush",NA,NA,NA
"Parkesia noveboracensis","Northern Waterthrush","Parkesia noveboracensis_Northern Waterthrush","Northern Waterthrush","B-NOWA","birds"
"Paroaria capitata","Yellow-billed Cardinal","Paroaria capitata_Yellow-billed Cardinal",NA,NA,NA
"Paroaria coronata","Red-crested Cardinal","Paroaria coronata_Red-crested Cardinal",NA,NA,NA
"Paroaria dominicana","Red-cowled Cardinal","Paroaria dominicana_Red-cowled Cardinal",NA,NA,NA
"Paroaria gularis","Red-capped Cardinal","Paroaria gularis_Red-capped Cardinal",NA,NA,NA
"Paroreomyza montana","Maui Alauahio","Paroreomyza montana_Maui Alauahio",NA,NA,NA
"Parus cinereus","Cinereous Tit","Parus cinereus_Cinereous Tit",NA,NA,NA
"Parus major","Great Tit","Parus major_Great Tit",NA,NA,NA
"Parus minor","Japanese Tit","Parus minor_Japanese Tit",NA,NA,NA
"Parus monticolus","Green-backed Tit","Parus monticolus_Green-backed Tit",NA,NA,NA
"Parvipsitta porphyrocephala","Purple-crowned Lorikeet","Parvipsitta porphyrocephala_Purple-crowned Lorikeet",NA,NA,NA
"Parvipsitta pusilla","Little Lorikeet","Parvipsitta pusilla_Little Lorikeet",NA,NA,NA
"Passer ammodendri","Saxaul Sparrow","Passer ammodendri_Saxaul Sparrow",NA,NA,NA
"Passer cinnamomeus","Russet Sparrow","Passer cinnamomeus_Russet Sparrow",NA,NA,NA
"Passer diffusus","Southern Grey-headed Sparrow","Passer diffusus_Southern Grey-headed Sparrow",NA,NA,NA
"Passer domesticus","House Sparrow","Passer domesticus_House Sparrow","House Sparrow","B-HOSP","birds"
"Passer flaveolus","Plain-backed Sparrow","Passer flaveolus_Plain-backed Sparrow",NA,NA,NA
"Passer griseus","Northern Grey-headed Sparrow","Passer griseus_Northern Grey-headed Sparrow",NA,NA,NA
"Passer hispaniolensis","Spanish Sparrow","Passer hispaniolensis_Spanish Sparrow",NA,NA,NA
"Passer italiae","Italian Sparrow","Passer italiae_Italian Sparrow",NA,NA,NA
"Passer melanurus","Cape Sparrow","Passer melanurus_Cape Sparrow",NA,NA,NA
"Passer moabiticus","Dead Sea Sparrow","Passer moabiticus_Dead Sea Sparrow",NA,NA,NA
"Passer montanus","Eurasian Tree Sparrow","Passer montanus_Eurasian Tree Sparrow",NA,NA,NA
"Passer pyrrhonotus","Sind Sparrow","Passer pyrrhonotus_Sind Sparrow",NA,NA,NA
"Passer rufocinctus","Kenya Rufous Sparrow","Passer rufocinctus_Kenya Rufous Sparrow",NA,NA,NA
"Passer simplex","Desert Sparrow","Passer simplex_Desert Sparrow",NA,NA,NA
"Passer swainsonii","Swainson's Sparrow","Passer swainsonii_Swainson's Sparrow",NA,NA,NA
"Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis_Savannah Sparrow","Savannah Sparrow","B-SAVS","birds"
"Passerella iliaca","Fox Sparrow","Passerella iliaca_Fox Sparrow","Fox Sparrow","B-FOSP","birds"
"Passerina amoena","Lazuli Bunting","Passerina amoena_Lazuli Bunting","Lazuli Bunting","B-LZBU","birds"
"Passerina caerulea","Blue Grosbeak","Passerina caerulea_Blue Grosbeak","Blue Grosbeak","B-BLGB","birds"
"Passerina ciris","Painted Bunting","Passerina ciris_Painted Bunting","Painted Bunting","B-PABU","birds"
"Passerina cyanea","Indigo Bunting","Passerina cyanea_Indigo Bunting","Indigo Bunting","B-INBU","birds"
"Passerina leclancherii","Orange-breasted Bunting","Passerina leclancherii_Orange-breasted Bunting",NA,NA,NA
"Passerina rositae","Rose-bellied Bunting","Passerina rositae_Rose-bellied Bunting",NA,NA,NA
"Passerina versicolor","Varied Bunting","Passerina versicolor_Varied Bunting",NA,NA,NA
"Pastor roseus","Rose-coloured Starling","Pastor roseus_Rose-coloured Starling",NA,NA,NA
"Patagioenas araucana","Chilean Pigeon","Patagioenas araucana_Chilean Pigeon",NA,NA,NA
"Patagioenas cayennensis","Pale-vented Pigeon","Patagioenas cayennensis_Pale-vented Pigeon",NA,NA,NA
"Patagioenas corensis","Bare-eyed Pigeon","Patagioenas corensis_Bare-eyed Pigeon",NA,NA,NA
"Patagioenas fasciata","Band-tailed Pigeon","Patagioenas fasciata_Band-tailed Pigeon","Band-tailed Pigeon","B-BTPI","birds"
"Patagioenas flavirostris","Red-billed Pigeon","Patagioenas flavirostris_Red-billed Pigeon",NA,NA,NA
"Patagioenas goodsoni","Dusky Pigeon","Patagioenas goodsoni_Dusky Pigeon",NA,NA,NA
"Patagioenas leucocephala","White-crowned Pigeon","Patagioenas leucocephala_White-crowned Pigeon",NA,NA,NA
"Patagioenas maculosa","Spot-winged Pigeon","Patagioenas maculosa_Spot-winged Pigeon",NA,NA,NA
"Patagioenas nigrirostris","Short-billed Pigeon","Patagioenas nigrirostris_Short-billed Pigeon",NA,NA,NA
"Patagioenas picazuro","Picazuro Pigeon","Patagioenas picazuro_Picazuro Pigeon",NA,NA,NA
"Patagioenas plumbea","Plumbeous Pigeon","Patagioenas plumbea_Plumbeous Pigeon",NA,NA,NA
"Patagioenas speciosa","Scaled Pigeon","Patagioenas speciosa_Scaled Pigeon",NA,NA,NA
"Patagioenas squamosa","Scaly-naped Pigeon","Patagioenas squamosa_Scaly-naped Pigeon",NA,NA,NA
"Patagioenas subvinacea","Ruddy Pigeon","Patagioenas subvinacea_Ruddy Pigeon",NA,NA,NA
"Patagona gigas","Giant Hummingbird","Patagona gigas_Giant Hummingbird",NA,NA,NA
"Pauxi pauxi","Helmeted Curassow","Pauxi pauxi_Helmeted Curassow",NA,NA,NA
"Pavo cristatus","Indian Peafowl","Pavo cristatus_Indian Peafowl",NA,NA,NA
"Pelargopsis amauroptera","Brown-winged Kingfisher","Pelargopsis amauroptera_Brown-winged Kingfisher",NA,NA,NA
"Pelargopsis capensis","Stork-billed Kingfisher","Pelargopsis capensis_Stork-billed Kingfisher",NA,NA,NA
"Pelecanus conspicillatus","Australian Pelican","Pelecanus conspicillatus_Australian Pelican",NA,NA,NA
"Pelecanus erythrorhynchos","American White Pelican","Pelecanus erythrorhynchos_American White Pelican","American White Pelican","B-AWPE","birds"
"Pelecanus occidentalis","Brown Pelican","Pelecanus occidentalis_Brown Pelican","Brown Pelican","B-BRPE","birds"
"Pellorneum albiventre","Spot-throated Babbler","Pellorneum albiventre_Spot-throated Babbler",NA,NA,NA
"Pellorneum bicolor","Ferruginous Babbler","Pellorneum bicolor_Ferruginous Babbler",NA,NA,NA
"Pellorneum capistratum","Javan Black-capped Babbler","Pellorneum capistratum_Javan Black-capped Babbler",NA,NA,NA
"Pellorneum celebense","Sulawesi Babbler","Pellorneum celebense_Sulawesi Babbler",NA,NA,NA
"Pellorneum fuscocapillus","Brown-capped Babbler","Pellorneum fuscocapillus_Brown-capped Babbler",NA,NA,NA
"Pellorneum malaccense","Short-tailed Babbler","Pellorneum malaccense_Short-tailed Babbler",NA,NA,NA
"Pellorneum palustre","Marsh Babbler","Pellorneum palustre_Marsh Babbler",NA,NA,NA
"Pellorneum pyrrogenys","Temminck's Babbler","Pellorneum pyrrogenys_Temminck's Babbler",NA,NA,NA
