Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Leucopternis kuhli,White-browed Hawk,Leucopternis kuhli_White-browed Hawk,NA,NA
Leucopternis melanops,Black-faced Hawk,Leucopternis melanops_Black-faced Hawk,NA,NA
Leucopternis semiplumbeus,Semiplumbeous Hawk,Leucopternis semiplumbeus_Semiplumbeous Hawk,NA,NA
Leucosarcia melanoleuca,Wonga Pigeon,Leucosarcia melanoleuca_Wonga Pigeon,NA,NA
Leucosticte atrata,Black Rosy-Finch,Leucosticte atrata_Black Rosy-Finch,NA,NA
Leucosticte australis,Brown-capped Rosy-Finch,Leucosticte australis_Brown-capped Rosy-Finch,NA,NA
Falco tinnunculus,Common Kestrel,Falco tinnunculus_Common Kestrel,Eurasian Kestrel,birds
Lewinia pectoralis,Lewin's Rail,Lewinia pectoralis_Lewin's Rail,NA,NA
Lewinia striata,Slaty-breasted Rail,Lewinia striata_Slaty-breasted Rail,NA,NA
Lichenostomus cratitius,Purple-gaped Honeyeater,Lichenostomus cratitius_Purple-gaped Honeyeater,NA,NA
Lichenostomus melanops,Yellow-tufted Honeyeater,Lichenostomus melanops_Yellow-tufted Honeyeater,NA,NA
Lichmera incana,Dark-brown Honeyeater,Lichmera incana_Dark-brown Honeyeater,NA,NA
Lichmera indistincta,Brown Honeyeater,Lichmera indistincta_Brown Honeyeater,NA,NA
Lichmera limbata,Indonesian Honeyeater,Lichmera limbata_Indonesian Honeyeater,NA,NA
Lichmera squamata,White-tufted Honeyeater,Lichmera squamata_White-tufted Honeyeater,NA,NA
Limnoctites rectirostris,Straight-billed Reedhaunter,Limnoctites rectirostris_Straight-billed Reedhaunter,NA,NA
Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,Limnoctites sulphuriferus_Sulphur-bearded Reedhaunter,NA,NA
Felis catus,NA,NA,Domestic Cat,mammals
Fratercula cirrhata,NA,NA,Tufted Puffin,birds
Limnodromus semipalmatus,Asian Dowitcher,Limnodromus semipalmatus_Asian Dowitcher,NA,NA
Limnornis curvirostris,Curve-billed Reedhaunter,Limnornis curvirostris_Curve-billed Reedhaunter,NA,NA
Limnothlypis swainsonii,Swainson's Warbler,Limnothlypis swainsonii_Swainson's Warbler,NA,NA
Fratercula corniculata,NA,NA,Horned Puffin,birds
Fregata magnificens,Magnificent Frigatebird,Fregata magnificens_Magnificent Frigatebird,Magnificent Frigatebird,birds
Fringilla montifringilla,Brambling,Fringilla montifringilla_Brambling,Brambling,birds
Limosa limosa,Black-tailed Godwit,Limosa limosa_Black-tailed Godwit,NA,NA
Linaria cannabina,Common Linnet,Linaria cannabina_Common Linnet,NA,NA
Linaria flavirostris,Twite,Linaria flavirostris_Twite,NA,NA
Linaria yemenensis,Yemen Linnet,Linaria yemenensis_Yemen Linnet,NA,NA
Liocichla phoenicea,Red-faced Liocichla,Liocichla phoenicea_Red-faced Liocichla,NA,NA
Liocichla ripponi,Scarlet-faced Liocichla,Liocichla ripponi_Scarlet-faced Liocichla,NA,NA
Liocichla steerii,Steere's Liocichla,Liocichla steerii_Steere's Liocichla,NA,NA
Lioparus chrysotis,Golden-breasted Fulvetta,Lioparus chrysotis_Golden-breasted Fulvetta,NA,NA
Liosceles thoracicus,Rusty-belted Tapaculo,Liosceles thoracicus_Rusty-belted Tapaculo,NA,NA
Lipaugus ater,Black-and-gold Cotinga,Lipaugus ater_Black-and-gold Cotinga,NA,NA
Lipaugus fuscocinereus,Dusky Piha,Lipaugus fuscocinereus_Dusky Piha,NA,NA
Lipaugus lanioides,Cinnamon-vented Piha,Lipaugus lanioides_Cinnamon-vented Piha,NA,NA
Lipaugus unirufus,Rufous Piha,Lipaugus unirufus_Rufous Piha,NA,NA
Lipaugus vociferans,Screaming Piha,Lipaugus vociferans_Screaming Piha,NA,NA
Lipaugus weberi,Chestnut-capped Piha,Lipaugus weberi_Chestnut-capped Piha,NA,NA
Fulica americana,American Coot,Fulica americana_American Coot,American Coot,birds
Fulmarus glacialis,Northern Fulmar,Fulmarus glacialis_Northern Fulmar,Northern Fulmar,birds
Lithobates palustris,Pickerel Frog,Lithobates palustris_Pickerel Frog,NA,NA
Gallinago delicata,Wilson's Snipe,Gallinago delicata_Wilson's Snipe,Wilson's Snipe,birds
Lochmias nematura,Sharp-tailed Streamcreeper,Lochmias nematura_Sharp-tailed Streamcreeper,NA,NA
Locustella alishanensis,Taiwan Bush Warbler,Locustella alishanensis_Taiwan Bush Warbler,NA,NA
Locustella caudata,Long-tailed Bush Warbler,Locustella caudata_Long-tailed Bush Warbler,NA,NA
Locustella davidi,Baikal Bush Warbler,Locustella davidi_Baikal Bush Warbler,NA,NA
Locustella fluviatilis,River Warbler,Locustella fluviatilis_River Warbler,NA,NA
Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata_Lanceolated Warbler,NA,NA
Locustella luscinioides,Savi's Warbler,Locustella luscinioides_Savi's Warbler,NA,NA
Locustella luteoventris,Brown Bush Warbler,Locustella luteoventris_Brown Bush Warbler,NA,NA
Locustella mandelli,Russet Bush Warbler,Locustella mandelli_Russet Bush Warbler,NA,NA
Locustella montis,Javan Bush Warbler,Locustella montis_Javan Bush Warbler,NA,NA
Locustella naevia,Common Grasshopper Warbler,Locustella naevia_Common Grasshopper Warbler,NA,NA
Locustella tacsanowskia,Chinese Bush Warbler,Locustella tacsanowskia_Chinese Bush Warbler,NA,NA
Locustella thoracica,Spotted Bush Warbler,Locustella thoracica_Spotted Bush Warbler,NA,NA
Lonchura atricapilla,Chestnut Munia,Lonchura atricapilla_Chestnut Munia,NA,NA
Lonchura castaneothorax,Chestnut-breasted Munia,Lonchura castaneothorax_Chestnut-breasted Munia,NA,NA
Lonchura kelaarti,Black-throated Munia,Lonchura kelaarti_Black-throated Munia,NA,NA
Lonchura leucogastroides,Javan Munia,Lonchura leucogastroides_Javan Munia,NA,NA
Lonchura maja,White-headed Munia,Lonchura maja_White-headed Munia,NA,NA
Lonchura malacca,Tricoloured Munia,Lonchura malacca_Tricoloured Munia,NA,NA
Lonchura punctulata,Scaly-breasted Munia,Lonchura punctulata_Scaly-breasted Munia,NA,NA
Lonchura striata,White-rumped Munia,Lonchura striata_White-rumped Munia,NA,NA
Lophaetus occipitalis,Long-crested Eagle,Lophaetus occipitalis_Long-crested Eagle,NA,NA
Lophoceros alboterminatus,Crowned Hornbill,Lophoceros alboterminatus_Crowned Hornbill,NA,NA
Lophoceros camurus,Red-billed Dwarf Hornbill,Lophoceros camurus_Red-billed Dwarf Hornbill,NA,NA
Lophoceros fasciatus,Congo Pied Hornbill,Lophoceros fasciatus_Congo Pied Hornbill,NA,NA
Lophoceros hemprichii,Hemprich's Hornbill,Lophoceros hemprichii_Hemprich's Hornbill,NA,NA
Lophoceros nasutus,African Grey Hornbill,Lophoceros nasutus_African Grey Hornbill,NA,NA
Lophochroa leadbeateri,Pink Cockatoo,Lophochroa leadbeateri_Pink Cockatoo,NA,NA
Gallinula galeata,American Moorhen,Gallinula galeata_American Moorhen,Common Gallinule,birds
Lophonetta specularioides,Crested Duck,Lophonetta specularioides_Crested Duck,NA,NA
Lophophanes cristatus,Crested Tit,Lophophanes cristatus_Crested Tit,NA,NA
Lophophanes dichrous,Grey-crested Tit,Lophophanes dichrous_Grey-crested Tit,NA,NA
Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus_Himalayan Monal,NA,NA
Lophorina superba,Greater Lophorina,Lophorina superba_Greater Lophorina,NA,NA
Lophostrix cristata,Crested Owl,Lophostrix cristata_Crested Owl,NA,NA
Lophotriccus eulophotes,Long-crested Pygmy-Tyrant,Lophotriccus eulophotes_Long-crested Pygmy-Tyrant,NA,NA
Lophotriccus galeatus,Helmeted Pygmy-Tyrant,Lophotriccus galeatus_Helmeted Pygmy-Tyrant,NA,NA
Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus_Scale-crested Pygmy-Tyrant,NA,NA
Lophotriccus vitiosus,Double-banded Pygmy-Tyrant,Lophotriccus vitiosus_Double-banded Pygmy-Tyrant,NA,NA
Lophotriorchis kienerii,Rufous-bellied Eagle,Lophotriorchis kienerii_Rufous-bellied Eagle,NA,NA
Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos_Kalij Pheasant,NA,NA
Loriculus beryllinus,Sri Lanka Hanging-Parrot,Loriculus beryllinus_Sri Lanka Hanging-Parrot,NA,NA
Loriculus galgulus,Blue-crowned Hanging-Parrot,Loriculus galgulus_Blue-crowned Hanging-Parrot,NA,NA
Loriculus philippensis,Philippine Hanging-Parrot,Loriculus philippensis_Philippine Hanging-Parrot,NA,NA
Loriculus vernalis,Vernal Hanging-Parrot,Loriculus vernalis_Vernal Hanging-Parrot,NA,NA
Loriotus cristatus,Flame-crested Tanager,Loriotus cristatus_Flame-crested Tanager,NA,NA
Loriotus luctuosus,White-shouldered Tanager,Loriotus luctuosus_White-shouldered Tanager,NA,NA
Lorius chlorocercus,Yellow-bibbed Lory,Lorius chlorocercus_Yellow-bibbed Lory,NA,NA
Lorius lory,Black-capped Lory,Lorius lory_Black-capped Lory,NA,NA
Gavia adamsii,White-billed Diver,Gavia adamsii_White-billed Diver,Yellow-billed Loon,birds
Gavia arctica,Black-throated Diver,Gavia arctica_Black-throated Diver,Arctic Loon,birds
Loxia pytyopsittacus,Parrot Crossbill,Loxia pytyopsittacus_Parrot Crossbill,NA,NA
Loxia scotica,Scottish Crossbill,Loxia scotica_Scottish Crossbill,NA,NA
Loxia sinesciuris,Cassia Crossbill,Loxia sinesciuris_Cassia Crossbill,NA,NA
Loxigilla noctis,Lesser Antillean Bullfinch,Loxigilla noctis_Lesser Antillean Bullfinch,NA,NA
Loxioides bailleui,Palila,Loxioides bailleui_Palila,NA,NA
Loxops caeruleirostris,Akekee,Loxops caeruleirostris_Akekee,NA,NA
Loxops coccineus,Hawaii Akepa,Loxops coccineus_Hawaii Akepa,NA,NA
Loxops mana,Hawaii Creeper,Loxops mana_Hawaii Creeper,NA,NA
Lullula arborea,Woodlark,Lullula arborea_Woodlark,NA,NA
Lurocalis rufiventris,Rufous-bellied Nighthawk,Lurocalis rufiventris_Rufous-bellied Nighthawk,NA,NA
Lurocalis semitorquatus,Short-tailed Nighthawk,Lurocalis semitorquatus_Short-tailed Nighthawk,NA,NA
Luscinia luscinia,Thrush Nightingale,Luscinia luscinia_Thrush Nightingale,NA,NA
Luscinia megarhynchos,Common Nightingale,Luscinia megarhynchos_Common Nightingale,NA,NA
Luscinia phaenicuroides,White-bellied Redstart,Luscinia phaenicuroides_White-bellied Redstart,NA,NA
Luscinia svecica,Bluethroat,Luscinia svecica_Bluethroat,NA,NA
Lybius bidentatus,Double-toothed Barbet,Lybius bidentatus_Double-toothed Barbet,NA,NA
Lybius guifsobalito,Black-billed Barbet,Lybius guifsobalito_Black-billed Barbet,NA,NA
Lybius torquatus,Black-collared Barbet,Lybius torquatus_Black-collared Barbet,NA,NA
Lybius vieilloti,Vieillot's Barbet,Lybius vieilloti_Vieillot's Barbet,NA,NA
Lycocorax pyrrhopterus,Halmahera Paradise-crow,Lycocorax pyrrhopterus_Halmahera Paradise-crow,NA,NA
Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus_Jack Snipe,NA,NA
Lyncornis macrotis,Great Eared-Nightjar,Lyncornis macrotis_Great Eared-Nightjar,NA,NA
Lyncornis temminckii,Malaysian Eared-Nightjar,Lyncornis temminckii_Malaysian Eared-Nightjar,NA,NA
Lyrurus tetrix,Black Grouse,Lyrurus tetrix_Black Grouse,NA,NA
Machaerirhynchus flaviventer,Yellow-breasted Boatbill,Machaerirhynchus flaviventer_Yellow-breasted Boatbill,NA,NA
Machaerirhynchus nigripectus,Black-breasted Boatbill,Machaerirhynchus nigripectus_Black-breasted Boatbill,NA,NA
Machaeropterus deliciosus,Club-winged Manakin,Machaeropterus deliciosus_Club-winged Manakin,NA,NA
Machaeropterus pyrocephalus,Fiery-capped Manakin,Machaeropterus pyrocephalus_Fiery-capped Manakin,NA,NA
Machaeropterus regulus,Kinglet Manakin,Machaeropterus regulus_Kinglet Manakin,NA,NA
Machaeropterus striolatus,Striolated Manakin,Machaeropterus striolatus_Striolated Manakin,NA,NA
Macheiramphus alcinus,Bat Hawk,Macheiramphus alcinus_Bat Hawk,NA,NA
Machetornis rixosa,Cattle Tyrant,Machetornis rixosa_Cattle Tyrant,NA,NA
Machlolophus aplonotus,Indian Yellow Tit,Machlolophus aplonotus_Indian Yellow Tit,NA,NA
Machlolophus holsti,Taiwan Yellow Tit,Machlolophus holsti_Taiwan Yellow Tit,NA,NA
Machlolophus nuchalis,White-naped Tit,Machlolophus nuchalis_White-naped Tit,NA,NA
Machlolophus spilonotus,Yellow-cheeked Tit,Machlolophus spilonotus_Yellow-cheeked Tit,NA,NA
Machlolophus xanthogenys,Himalayan Black-lored Tit,Machlolophus xanthogenys_Himalayan Black-lored Tit,NA,NA
Mackenziaena leachii,Large-tailed Antshrike,Mackenziaena leachii_Large-tailed Antshrike,NA,NA
Mackenziaena severa,Tufted Antshrike,Mackenziaena severa_Tufted Antshrike,NA,NA
Macroagelaius imthurni,Golden-tufted Grackle,Macroagelaius imthurni_Golden-tufted Grackle,NA,NA
Macroagelaius subalaris,Mountain Grackle,Macroagelaius subalaris_Mountain Grackle,NA,NA
Macronus ptilosus,Fluffy-backed Tit-Babbler,Macronus ptilosus_Fluffy-backed Tit-Babbler,NA,NA
Macronus striaticeps,Brown Tit-Babbler,Macronus striaticeps_Brown Tit-Babbler,NA,NA
Macronyx capensis,Orange-throated Longclaw,Macronyx capensis_Orange-throated Longclaw,NA,NA
Macronyx croceus,Yellow-throated Longclaw,Macronyx croceus_Yellow-throated Longclaw,NA,NA
Macronyx fuelleborni,Fülleborn's Longclaw,Macronyx fuelleborni_Fülleborn's Longclaw,NA,NA
Macropygia amboinensis,Amboyna Cuckoo-Dove,Macropygia amboinensis_Amboyna Cuckoo-Dove,NA,NA
Macropygia doreya,Sultan's Cuckoo-Dove,Macropygia doreya_Sultan's Cuckoo-Dove,NA,NA
Macropygia mackinlayi,Mackinlay's Cuckoo-Dove,Macropygia mackinlayi_Mackinlay's Cuckoo-Dove,NA,NA
Macropygia phasianella,Brown Cuckoo-Dove,Macropygia phasianella_Brown Cuckoo-Dove,NA,NA
Macropygia ruficeps,Little Cuckoo-Dove,Macropygia ruficeps_Little Cuckoo-Dove,NA,NA
Macropygia tenuirostris,Philippine Cuckoo-Dove,Macropygia tenuirostris_Philippine Cuckoo-Dove,NA,NA
Macropygia unchall,Barred Cuckoo-Dove,Macropygia unchall_Barred Cuckoo-Dove,NA,NA
Macrosphenus concolor,Grey Longbill,Macrosphenus concolor_Grey Longbill,NA,NA
Macrosphenus flavicans,Yellow Longbill,Macrosphenus flavicans_Yellow Longbill,NA,NA
Macrosphenus kempi,Kemp's Longbill,Macrosphenus kempi_Kemp's Longbill,NA,NA
Magumma parva,Anianiau,Magumma parva_Anianiau,NA,NA
Malacocincla abbotti,Abbott's Babbler,Malacocincla abbotti_Abbott's Babbler,NA,NA
Malacocincla sepiaria,Horsfield's Babbler,Malacocincla sepiaria_Horsfield's Babbler,NA,NA
Malaconotus blanchoti,Grey-headed Bushshrike,Malaconotus blanchoti_Grey-headed Bushshrike,NA,NA
Malacopteron affine,Sooty-capped Babbler,Malacopteron affine_Sooty-capped Babbler,NA,NA
Malacopteron cinereum,Scaly-crowned Babbler,Malacopteron cinereum_Scaly-crowned Babbler,NA,NA
Malacopteron magnirostre,Moustached Babbler,Malacopteron magnirostre_Moustached Babbler,NA,NA
Malacopteron magnum,Rufous-crowned Babbler,Malacopteron magnum_Rufous-crowned Babbler,NA,NA
Malacoptila fulvogularis,Black-streaked Puffbird,Malacoptila fulvogularis_Black-streaked Puffbird,NA,NA
Malacoptila fusca,White-chested Puffbird,Malacoptila fusca_White-chested Puffbird,NA,NA
Malacoptila mystacalis,Moustached Puffbird,Malacoptila mystacalis_Moustached Puffbird,NA,NA
Malacoptila panamensis,White-whiskered Puffbird,Malacoptila panamensis_White-whiskered Puffbird,NA,NA
Malacoptila rufa,Rufous-necked Puffbird,Malacoptila rufa_Rufous-necked Puffbird,NA,NA
Malacoptila semicincta,Semicollared Puffbird,Malacoptila semicincta_Semicollared Puffbird,NA,NA
Malacoptila striata,Crescent-chested Puffbird,Malacoptila striata_Crescent-chested Puffbird,NA,NA
Malacorhynchus membranaceus,Pink-eared Duck,Malacorhynchus membranaceus_Pink-eared Duck,NA,NA
Malcorus pectoralis,Rufous-eared Warbler,Malcorus pectoralis_Rufous-eared Warbler,NA,NA
Malia grata,Malia,Malia grata_Malia,NA,NA
Malimbus nitens,Blue-billed Malimbe,Malimbus nitens_Blue-billed Malimbe,NA,NA
Malindangia mcgregori,McGregor's Cuckooshrike,Malindangia mcgregori_McGregor's Cuckooshrike,NA,NA
Malurus alboscapulatus,White-shouldered Fairywren,Malurus alboscapulatus_White-shouldered Fairywren,NA,NA
Malurus amabilis,Lovely Fairywren,Malurus amabilis_Lovely Fairywren,NA,NA
Malurus assimilis,Purple-backed Fairywren,Malurus assimilis_Purple-backed Fairywren,NA,NA
Malurus cyaneus,Superb Fairywren,Malurus cyaneus_Superb Fairywren,NA,NA
Malurus cyanocephalus,Emperor Fairywren,Malurus cyanocephalus_Emperor Fairywren,NA,NA
Malurus elegans,Red-winged Fairywren,Malurus elegans_Red-winged Fairywren,NA,NA
Malurus lamberti,Variegated Fairywren,Malurus lamberti_Variegated Fairywren,NA,NA
Malurus leucopterus,White-winged Fairywren,Malurus leucopterus_White-winged Fairywren,NA,NA
Malurus melanocephalus,Red-backed Fairywren,Malurus melanocephalus_Red-backed Fairywren,NA,NA
Malurus splendens,Splendid Fairywren,Malurus splendens_Splendid Fairywren,NA,NA
Manacus aurantiacus,Orange-collared Manakin,Manacus aurantiacus_Orange-collared Manakin,NA,NA
Manacus candei,White-collared Manakin,Manacus candei_White-collared Manakin,NA,NA
Manacus manacus,White-bearded Manakin,Manacus manacus_White-bearded Manakin,NA,NA
Manacus vitellinus,Golden-collared Manakin,Manacus vitellinus_Golden-collared Manakin,NA,NA
Manorina flavigula,Yellow-throated Miner,Manorina flavigula_Yellow-throated Miner,NA,NA
Manorina melanocephala,Noisy Miner,Manorina melanocephala_Noisy Miner,NA,NA
Manorina melanophrys,Bell Miner,Manorina melanophrys_Bell Miner,NA,NA
Gavia immer,Great Northern Diver,Gavia immer_Great Northern Diver,Common Loon,birds
Gavia pacifica,Pacific Diver,Gavia pacifica_Pacific Diver,Pacific Loon,birds
Gavia stellata,Red-throated Diver,Gavia stellata_Red-throated Diver,Red-throated Loon,birds
Mareca sibilatrix,Chiloe Wigeon,Mareca sibilatrix_Chiloe Wigeon,NA,NA
Geothlypis philadelphia,Mourning Warbler,Geothlypis philadelphia_Mourning Warbler,Mourning Warbler,birds
Margarops fuscatus,Pearly-eyed Thrasher,Margarops fuscatus_Pearly-eyed Thrasher,NA,NA
Margarornis rubiginosus,Ruddy Treerunner,Margarornis rubiginosus_Ruddy Treerunner,NA,NA
Margarornis squamiger,Pearled Treerunner,Margarornis squamiger_Pearled Treerunner,NA,NA
Masius chrysopterus,Golden-winged Manakin,Masius chrysopterus_Golden-winged Manakin,NA,NA
Mazaria propinqua,White-bellied Spinetail,Mazaria propinqua_White-bellied Spinetail,NA,NA
Mecocerculus hellmayri,Buff-banded Tyrannulet,Mecocerculus hellmayri_Buff-banded Tyrannulet,NA,NA
Mecocerculus leucophrys,White-throated Tyrannulet,Mecocerculus leucophrys_White-throated Tyrannulet,NA,NA
Mecocerculus minor,Sulphur-bellied Tyrannulet,Mecocerculus minor_Sulphur-bellied Tyrannulet,NA,NA
Mecocerculus poecilocercus,White-tailed Tyrannulet,Mecocerculus poecilocercus_White-tailed Tyrannulet,NA,NA
Mecocerculus stictopterus,White-banded Tyrannulet,Mecocerculus stictopterus_White-banded Tyrannulet,NA,NA
Geothlypis tolmiei,MacGillivray's Warbler,Geothlypis tolmiei_MacGillivray's Warbler,MacGillivray's Warbler,birds
Megaceryle lugubris,Crested Kingfisher,Megaceryle lugubris_Crested Kingfisher,NA,NA
Megaceryle maxima,Giant Kingfisher,Megaceryle maxima_Giant Kingfisher,NA,NA
Megaceryle torquata,Ringed Kingfisher,Megaceryle torquata_Ringed Kingfisher,NA,NA
Megalurus palustris,Striated Grassbird,Megalurus palustris_Striated Grassbird,NA,NA
Megapodius cumingii,Philippine Megapode,Megapodius cumingii_Philippine Megapode,NA,NA
Megapodius eremita,Melanesian Megapode,Megapodius eremita_Melanesian Megapode,NA,NA
Megapodius freycinet,Dusky Megapode,Megapodius freycinet_Dusky Megapode,NA,NA
Megapodius reinwardt,Orange-footed Megapode,Megapodius reinwardt_Orange-footed Megapode,NA,NA
Megarynchus pitangua,Boat-billed Flycatcher,Megarynchus pitangua_Boat-billed Flycatcher,NA,NA
Megascops albogularis,White-throated Screech-Owl,Megascops albogularis_White-throated Screech-Owl,NA,NA
Megascops asio,Eastern Screech-Owl,Megascops asio_Eastern Screech-Owl,NA,NA
Megascops atricapilla,Black-capped Screech-Owl,Megascops atricapilla_Black-capped Screech-Owl,NA,NA
Megascops centralis,Choco Screech-Owl,Megascops centralis_Choco Screech-Owl,NA,NA
Megascops choliba,Tropical Screech-Owl,Megascops choliba_Tropical Screech-Owl,NA,NA
Megascops clarkii,Bare-shanked Screech-Owl,Megascops clarkii_Bare-shanked Screech-Owl,NA,NA
Megascops cooperi,Pacific Screech-Owl,Megascops cooperi_Pacific Screech-Owl,NA,NA
Megascops gilesi,Santa Marta Screech-Owl,Megascops gilesi_Santa Marta Screech-Owl,NA,NA
Megascops guatemalae,Middle American Screech-Owl,Megascops guatemalae_Middle American Screech-Owl,NA,NA
Megascops hoyi,Montane Forest Screech-Owl,Megascops hoyi_Montane Forest Screech-Owl,NA,NA
Megascops ingens,Rufescent Screech-Owl,Megascops ingens_Rufescent Screech-Owl,NA,NA
Geothlypis trichas,Common Yellowthroat,Geothlypis trichas_Common Yellowthroat,Common Yellowthroat,birds
Megascops koepckeae,Koepcke's Screech-Owl,Megascops koepckeae_Koepcke's Screech-Owl,NA,NA
Megascops petersoni,Cinnamon Screech-Owl,Megascops petersoni_Cinnamon Screech-Owl,NA,NA
Megascops roboratus,Peruvian Screech-Owl,Megascops roboratus_Peruvian Screech-Owl,NA,NA
Megascops roraimae,Foothill Screech-Owl,Megascops roraimae_Foothill Screech-Owl,NA,NA
Megascops sanctaecatarinae,Long-tufted Screech-Owl,Megascops sanctaecatarinae_Long-tufted Screech-Owl,NA,NA
Megascops seductus,Balsas Screech-Owl,Megascops seductus_Balsas Screech-Owl,NA,NA
Megascops trichopsis,Whiskered Screech-Owl,Megascops trichopsis_Whiskered Screech-Owl,NA,NA
Megascops watsonii,Tawny-bellied Screech-Owl,Megascops watsonii_Tawny-bellied Screech-Owl,NA,NA
Megastictus margaritatus,Pearly Antshrike,Megastictus margaritatus_Pearly Antshrike,NA,NA
Megaxenops parnaguae,Great Xenops,Megaxenops parnaguae_Great Xenops,NA,NA
Meiglyptes tristis,Zebra Woodpecker,Meiglyptes tristis_Zebra Woodpecker,NA,NA
Meiglyptes tukki,Buff-necked Woodpecker,Meiglyptes tukki_Buff-necked Woodpecker,NA,NA
Melaenornis edolioides,Northern Black-Flycatcher,Melaenornis edolioides_Northern Black-Flycatcher,NA,NA
Melaenornis fischeri,White-eyed Slaty-Flycatcher,Melaenornis fischeri_White-eyed Slaty-Flycatcher,NA,NA
Melaenornis pammelaina,Southern Black-Flycatcher,Melaenornis pammelaina_Southern Black-Flycatcher,NA,NA
Melaenornis silens,Fiscal Flycatcher,Melaenornis silens_Fiscal Flycatcher,NA,NA
Melampitta lugubris,Lesser Melampitta,Melampitta lugubris_Lesser Melampitta,NA,NA
Melanerpes aurifrons,Golden-fronted Woodpecker,Melanerpes aurifrons_Golden-fronted Woodpecker,NA,NA
Melanerpes cactorum,White-fronted Woodpecker,Melanerpes cactorum_White-fronted Woodpecker,NA,NA
Melanerpes candidus,White Woodpecker,Melanerpes candidus_White Woodpecker,NA,NA
Melanerpes carolinus,Red-bellied Woodpecker,Melanerpes carolinus_Red-bellied Woodpecker,NA,NA
Melanerpes chrysauchen,Golden-naped Woodpecker,Melanerpes chrysauchen_Golden-naped Woodpecker,NA,NA
Melanerpes chrysogenys,Golden-cheeked Woodpecker,Melanerpes chrysogenys_Golden-cheeked Woodpecker,NA,NA
Melanerpes cruentatus,Yellow-tufted Woodpecker,Melanerpes cruentatus_Yellow-tufted Woodpecker,NA,NA
Glaucidium gnoma,Northern Pygmy-Owl,Glaucidium gnoma_Northern Pygmy-Owl,Northern Pygmy-Owl,birds
Melanerpes flavifrons,Yellow-fronted Woodpecker,Melanerpes flavifrons_Yellow-fronted Woodpecker,NA,NA
Glaucidium gnoma swarthi,NA,NA,"Northern Pygmy-Owl, swarthi subspecies",birds
Melanerpes hoffmannii,Hoffmann's Woodpecker,Melanerpes hoffmannii_Hoffmann's Woodpecker,NA,NA
Melanerpes hypopolius,Grey-breasted Woodpecker,Melanerpes hypopolius_Grey-breasted Woodpecker,NA,NA
Glaucomys oregonensis,NA,NA,Humboldt's Flying Squirrel,mammals
Melanerpes portoricensis,Puerto Rican Woodpecker,Melanerpes portoricensis_Puerto Rican Woodpecker,NA,NA
Melanerpes pucherani,Black-cheeked Woodpecker,Melanerpes pucherani_Black-cheeked Woodpecker,NA,NA
Melanerpes pygmaeus,Yucatan Woodpecker,Melanerpes pygmaeus_Yucatan Woodpecker,NA,NA
Melanerpes radiolatus,Jamaican Woodpecker,Melanerpes radiolatus_Jamaican Woodpecker,NA,NA
Melanerpes rubricapillus,Red-crowned Woodpecker,Melanerpes rubricapillus_Red-crowned Woodpecker,NA,NA
Melanerpes striatus,Hispaniolan Woodpecker,Melanerpes striatus_Hispaniolan Woodpecker,NA,NA
Melanerpes superciliaris,West Indian Woodpecker,Melanerpes superciliaris_West Indian Woodpecker,NA,NA
Melanerpes uropygialis,Gila Woodpecker,Melanerpes uropygialis_Gila Woodpecker,NA,NA
Melaniparus afer,Grey Tit,Melaniparus afer_Grey Tit,NA,NA
Melaniparus albiventris,White-bellied Tit,Melaniparus albiventris_White-bellied Tit,NA,NA
Melaniparus cinerascens,Ashy Tit,Melaniparus cinerascens_Ashy Tit,NA,NA
Melaniparus funereus,Dusky Tit,Melaniparus funereus_Dusky Tit,NA,NA
Melaniparus leucomelas,White-winged Black-Tit,Melaniparus leucomelas_White-winged Black-Tit,NA,NA
Melaniparus niger,Southern Black-Tit,Melaniparus niger_Southern Black-Tit,NA,NA
Melaniparus rufiventris,Rufous-bellied Tit,Melaniparus rufiventris_Rufous-bellied Tit,NA,NA
Melaniparus thruppi,Somali Tit,Melaniparus thruppi_Somali Tit,NA,NA
Glaucomys sabrinus,NA,NA,Northern Flying Squirrel,mammals
Melanitta fusca,Velvet Scoter,Melanitta fusca_Velvet Scoter,NA,NA
Melanitta nigra,Common Scoter,Melanitta nigra_Common Scoter,NA,NA
Globicephala macrorhynchus,NA,NA,Short-finned Pilot Whale,mammals
Melanochlora sultanea,Sultan Tit,Melanochlora sultanea_Sultan Tit,NA,NA
Melanocorypha calandra,Calandra Lark,Melanocorypha calandra_Calandra Lark,NA,NA
Melanocorypha maxima,Tibetan Lark,Melanocorypha maxima_Tibetan Lark,NA,NA
Melanodera melanodera,White-bridled Finch,Melanodera melanodera_White-bridled Finch,NA,NA
Melanodera xanthogramma,Yellow-bridled Finch,Melanodera xanthogramma_Yellow-bridled Finch,NA,NA
Melanodryas cucullata,Hooded Robin,Melanodryas cucullata_Hooded Robin,NA,NA
Melanodryas vittata,Dusky Robin,Melanodryas vittata_Dusky Robin,NA,NA
