Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus_Sharp-shinned Hawk,Sharp-shinned Hawk,birds
Aegithalos caudatus,Long-tailed Tit,Aegithalos caudatus_Long-tailed Tit,NA,NA
Aegithalos concinnus,Black-throated Tit,Aegithalos concinnus_Black-throated Tit,NA,NA
Aegithalos glaucogularis,Silver-throated Tit,Aegithalos glaucogularis_Silver-throated Tit,NA,NA
Aegithalos iouschistos,Black-browed Tit,Aegithalos iouschistos_Black-browed Tit,NA,NA
Aegithalos niveogularis,White-throated Tit,Aegithalos niveogularis_White-throated Tit,NA,NA
Aegithina nigrolutea,White-tailed Iora,Aegithina nigrolutea_White-tailed Iora,NA,NA
Aegithina tiphia,Common Iora,Aegithina tiphia_Common Iora,NA,NA
Aegithina viridissima,Green Iora,Aegithina viridissima_Green Iora,NA,NA
Actitis macularius,Spotted Sandpiper,Actitis macularius_Spotted Sandpiper,Spotted Sandpiper,birds
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii_Clark's Grebe,Clark's Grebe,birds
Aegolius harrisii,Buff-fronted Owl,Aegolius harrisii_Buff-fronted Owl,NA,NA
Aegolius ridgwayi,Unspotted Saw-whet Owl,Aegolius ridgwayi_Unspotted Saw-whet Owl,NA,NA
Aegotheles cristatus,Australian Owlet-nightjar,Aegotheles cristatus_Australian Owlet-nightjar,NA,NA
Aegypius monachus,Black Vulture,Aegypius monachus_Black Vulture,NA,NA
Aerodramus bartschi,Mariana Swiftlet,Aerodramus bartschi_Mariana Swiftlet,NA,NA
Aerodramus fuciphagus,White-nest Swiftlet,Aerodramus fuciphagus_White-nest Swiftlet,NA,NA
Aerodramus maximus,Black-nest Swiftlet,Aerodramus maximus_Black-nest Swiftlet,NA,NA
Aeronautes andecolus,Andean Swift,Aeronautes andecolus_Andean Swift,NA,NA
Aeronautes montivagus,White-tipped Swift,Aeronautes montivagus_White-tipped Swift,NA,NA
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis_Western Grebe,Western Grebe,birds
Aegolius acadicus,Northern Saw-whet Owl,Aegolius acadicus_Northern Saw-whet Owl,Northern Saw-whet Owl,birds
Aegolius acadicus brooksi,NA,NA,"Northern Saw-whet Owl, brooksi subspecies",birds
Aethopyga christinae,Fork-tailed Sunbird,Aethopyga christinae_Fork-tailed Sunbird,NA,NA
Aethopyga gouldiae,Mrs. Gould's Sunbird,Aethopyga gouldiae_Mrs. Gould's Sunbird,NA,NA
Aethopyga ignicauda,Fire-tailed Sunbird,Aethopyga ignicauda_Fire-tailed Sunbird,NA,NA
Aethopyga nipalensis,Green-tailed Sunbird,Aethopyga nipalensis_Green-tailed Sunbird,NA,NA
