"SUBNATION_NAME","NAME_CATEGORY_DESC","ELCODE","FAMILY","SNAME","SCOMNAME","GNAME","GCOMNAME","S_RANK","N_RANK","G_RANK","ORIGIN_DESC","CURR_PRESENCE_ABSENCE_DESC","EO_TRACK_STATUS_DESC","Scientific Name","English Name","BirdNET"
"Alberta","Vertebrate Animal","ABPBX10010","Parulidae","Seiurus aurocapilla","Ovenbird","Seiurus aurocapilla","Ovenbird","S5B","N5B,N5M","G5","Native","Present","Do not track","Seiurus aurocapilla","Ovenbird","Seiurus aurocapilla_Ovenbird"
"Alberta","Vertebrate Animal","ABNYF07110","Picidae","Picoides dorsalis","American Three-toed Woodpecker","Picoides dorsalis","American Three-toed Woodpecker","S4","N5B,N5N,NUM","G5","Native","Present","Do not track","Picoides dorsalis","American Three-toed Woodpecker","Picoides dorsalis_American Three-toed Woodpecker"
"Alberta","Vertebrate Animal","ABNXD01020","Alcedinidae","Megaceryle alcyon","Belted Kingfisher","Megaceryle alcyon","Belted Kingfisher","S4B","N5B,N4N5N,N5M","G5","Native","Present","Do not track","Megaceryle alcyon","Belted Kingfisher","Megaceryle alcyon_Belted Kingfisher"
"Alberta","Vertebrate Animal","ABPBXA0040","Passerellidae","Ammospiza leconteii","Le Conte's Sparrow","Ammospiza leconteii","LeConte's Sparrow","S5B","N5B,N5M","G5","Native","Present","Do not track","Ammospiza leconteii","LeConte's Sparrow","Ammospiza leconteii_LeConte's Sparrow"
"Alberta","Vertebrate Animal","ABNYF04170","Picidae","Melanerpes carolinus","Red-bellied Woodpecker","Melanerpes carolinus","Red-bellied Woodpecker","SNA","N4B,N4N,N3M","G5","Native","Unknown/Undetermined","Do not track","Melanerpes carolinus","Red-bellied Woodpecker","Melanerpes carolinus_Red-bellied Woodpecker"
"Alberta","Vertebrate Animal","ABNYF04050","Picidae","Melanerpes formicivorus","Acorn Woodpecker","Melanerpes formicivorus","Acorn Woodpecker","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Melanerpes formicivorus","Acorn Woodpecker","Melanerpes formicivorus_Acorn Woodpecker"
"Alberta","Vertebrate Animal","ABNTA07070","Caprimulgidae","Antrostomus vociferus","Eastern Whip-poor-will","Antrostomus vociferus","Eastern Whip-poor-will","SNA","N4B,N3M","G5","Native","Unknown/Undetermined","Do not track","Antrostomus vociferus","Eastern Whip-poor-will","Antrostomus vociferus_Eastern Whip-poor-will"
"Alberta","Vertebrate Animal","ABNNF10010","Scolopacidae","Calidris virgata","Surfbird","Calidris virgata","Surfbird","SNA","N3B,N4N,N4N5M","G4","Native","Unknown/Undetermined","Do not track","Calidris virgata","Surfbird","Calidris virgata_Surfbird"
"Alberta","Vertebrate Animal","ABNNF14010","Scolopacidae","Calidris subruficollis","Buff-breasted Sandpiper","Calidris subruficollis","Buff-breasted Sandpiper","SUM","N2N4B,N4N5M","G4","Native","Present","Do not track","Calidris subruficollis","Buff-breasted Sandpiper","Calidris subruficollis_Buff-breasted Sandpiper"
"Alberta","Vertebrate Animal","ABNNF15010","Scolopacidae","Calidris pugnax","Ruff","Calidris pugnax","Ruff","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Calidris pugnax","Ruff","Calidris pugnax_Ruff"
